"service","year","month","rows","status","run_tag","ts_utc","error"
"green",2018,9,"682032","OK","ingesta_20251110_043934","2025-11-10T08:50:12Z",""
"green",2018,10,"731888","OK","ingesta_20251110_043934","2025-11-10T08:50:32Z",""
"green",2018,11,"673287","OK","ingesta_20251110_043934","2025-11-10T08:50:57Z",""
"green",2018,12,"719654","OK","ingesta_20251110_043934","2025-11-10T08:51:22Z",""
"green",2019,1,"672105","OK","ingesta_20251110_043934","2025-11-10T08:51:38Z",""
"green",2019,2,"615594","OK","ingesta_20251110_043934","2025-11-10T08:51:55Z",""
"green",2019,3,"643063","OK","ingesta_20251110_043934","2025-11-10T08:52:08Z",""
"green",2019,4,"567852","OK","ingesta_20251110_043934","2025-11-10T08:52:23Z",""
"green",2019,5,"545452","OK","ingesta_20251110_043934","2025-11-10T08:52:36Z",""
"green",2019,6,"506238","OK","ingesta_20251110_043934","2025-11-10T08:52:59Z",""
"green",2019,7,"470743","OK","ingesta_20251110_043934","2025-11-10T08:53:12Z",""
"green",2019,8,"449695","OK","ingesta_20251110_043934","2025-11-10T08:53:23Z",""
"green",2019,9,"449063","OK","ingesta_20251110_043934","2025-11-10T08:53:35Z",""
"green",2019,10,"476386","OK","ingesta_20251110_043934","2025-11-10T08:53:45Z",""
"green",2019,11,"449500","OK","ingesta_20251110_043934","2025-11-10T08:53:56Z",""
"green",2019,12,"455294","OK","ingesta_20251110_043934","2025-11-10T08:54:07Z",""
"green",2020,1,"447770","OK","ingesta_20251110_043934","2025-11-10T08:54:18Z",""
"green",2020,2,"398632","OK","ingesta_20251110_043934","2025-11-10T08:54:41Z",""
"green",2020,3,"223496","OK","ingesta_20251110_043934","2025-11-10T08:54:50Z",""
"green",2020,4,"35644","OK","ingesta_20251110_043934","2025-11-10T08:54:56Z",""
"green",2020,5,"57361","OK","ingesta_20251110_043934","2025-11-10T08:54:58Z",""
"green",2020,6,"63110","OK","ingesta_20251110_043934","2025-11-10T08:55:01Z",""
"green",2020,7,"72258","OK","ingesta_20251110_043934","2025-11-10T08:55:04Z",""
"green",2020,8,"81063","OK","ingesta_20251110_043934","2025-11-10T08:55:07Z",""
"green",2020,9,"87987","OK","ingesta_20251110_043934","2025-11-10T08:55:11Z",""
"green",2020,10,"95120","OK","ingesta_20251110_043934","2025-11-10T08:55:15Z",""
"green",2020,11,"88605","OK","ingesta_20251110_043934","2025-11-10T08:55:19Z",""
"green",2020,12,"83130","OK","ingesta_20251110_043934","2025-11-10T08:55:22Z",""
"green",2021,1,"76518","OK","ingesta_20251110_043934","2025-11-10T08:55:26Z",""
"green",2021,2,"64572","OK","ingesta_20251110_043934","2025-11-10T08:55:29Z",""
"green",2021,3,"83827","OK","ingesta_20251110_043934","2025-11-10T08:55:32Z",""
"green",2021,4,"86941","OK","ingesta_20251110_043934","2025-11-10T08:55:35Z",""
